RUN	STATISTIC	VALUE
083	lanczos_max_converged	0
083	time_input	2.75735
083	time_solve	1097.41
083	compression_ratio	0.0999069
084	iterations	35
084	L_final	344.628
084	lanczos_mean	8.61458
084	lanczos_min	7
084	lanczos_max	10
084	lanczos_mean_converged	305
084	lanczos_min_converged	296
084	lanczos_max_converged	315
084	time_input	3.57739
084	time_solve	944.252
084	compression_ratio	0.0999069
085	L_final	346.408
085	lanczos_mean	11.2092
085	lanczos_min	7
085	lanczos_max	308
085	lanczos_mean_converged	0
085	lanczos_min_converged	0
085	lanczos_max_converged	0
085	time_input	3.05331
085	time_solve	1043.61
085	compression_ratio	0.0999069
086	iterations	84
086	L_final	362.249
086	lanczos_mean	8.65
086	lanczos_min	7
086	lanczos_max	12
086	lanczos_mean_converged	301.875
086	lanczos_min_converged	292
086	lanczos_max_converged	308
086	time_input	2.90635
086	time_solve	996.655
086	compression_ratio	0.0999069
087	iterations	53
087	L_final	351.54
087	lanczos_mean	8.30556
087	lanczos_min	6
087	lanczos_max	10
087	lanczos_mean_converged	305.625
087	lanczos_min_converged	299
087	lanczos_max_converged	314
087	time_input	2.6925
087	time_solve	948.853
087	compression_ratio	0.0999069
088	L_final	361.98
088	lanczos_mean	11.0829
088	lanczos_min	6
088	lanczos_max	310
088	lanczos_mean_converged	0
088	lanczos_min_converged	0
088	lanczos_max_converged	0
088	time_input	2.89652
088	time_solve	1101.67
088	compression_ratio	0.0999069
089	L_final	356.346
089	lanczos_mean	11.0644
089	lanczos_min	6
089	lanczos_max	313
089	lanczos_mean_converged	0
089	lanczos_min_converged	0
089	lanczos_max_converged	0
089	time_input	3.0743
089	time_solve	1009.37
089	compression_ratio	0.0999069
090	iterations	81
090	L_final	326.787
090	lanczos_mean	8.1311
090	lanczos_min	6
090	lanczos_max	10
090	lanczos_mean_converged	304.75
090	lanczos_min_converged	297
090	lanczos_max_converged	314
090	time_input	3.36788
090	time_solve	1066.77
090	compression_ratio	0.0999069
091	iterations	75
091	L_final	374.864
091	lanczos_mean	7.70724
091	lanczos_min	6
091	lanczos_max	10
091	lanczos_mean_converged	304.375
091	lanczos_min_converged	295
091	lanczos_max_converged	310
091	time_input	3.14259
091	time_solve	986.523
091	compression_ratio	0.0999069
092	iterations	56
092	L_final	373.715
092	lanczos_mean	8.33772
092	lanczos_min	7
092	lanczos_max	10
092	lanczos_mean_converged	303.5
092	lanczos_min_converged	291
